symbol,name,market
2330,台積電,TWSE
2317,鴻海,TWSE
2454,聯發科,TWSE
2308,台達電,TWSE
2382,廣達,TWSE
2891,中信金,TWSE
2412,中華電,TWSE
2882,國泰金,TWSE
2881,富邦金,TWSE
3711,日月光投控,TWSE
1303,南亞,TWSE
1301,台塑,TWSE
2884,玉山金,TWSE
2885,元大金,TWSE
2886,兆豐金,TWSE
2002,中鋼,TWSE
6505,台塑化,TWSE
2207,和泰車,TWSE
2890,永豐金,TWSE
2880,華南金,TWSE
2887,台新金,TWSE
2912,統一超,TWSE
1216,統一,TWSE
1326,台化,TWSE
2357,華碩,TWSE
2303,聯電,TWSE
3045,台灣大,TWSE
4904,遠傳,TWSE
2883,開發金,TWSE
3008,大立光,TWSE
2603,長榮,TWSE
2609,陽明,TWSE
2615,萬海,TWSE
2892,第一金,TWSE
1101,台泥,TWSE
1102,亞泥,TWSE
5880,合庫金,TWSE
2379,瑞昱,TWSE
3034,聯詠,TWSE
2474,可成,TWSE
2347,聯強,TWSE
2376,技嘉,TWSE
2377,微星,TWSE
2356,英業達,TWSE
3231,緯創,TWSE
3017,奇鋐,TWSE
3661,世芯-KY,TWSE
6669,緯穎,TWSE
6488,環球晶,TWSE
8046,南電,TWSE
2049,上銀,TWSE
1590,亞德客-KY,TWSE
6271,同欣電,TWSE
2492,華新科,TWSE
2360,致茂,TWSE
3037,欣興,TWSE
2345,智邦,TWSE
3702,大聯大,TWSE
2354,鴻準,TWSE
2368,金像電,TWSE
2395,研華,TWSE
4958,臻鼎-KY,TWSE
6239,力成,TWSE
2344,華邦電,TWSE
2353,宏碁,TWSE
2371,大同,TWSE
4938,和碩,TWSE
1605,華新,TWSE
1717,長興,TWSE
1722,台肥,TWSE
9904,寶成,TWSE
2027,大成鋼,TWSE
2105,正新,TWSE
2227,裕日車,TWSE
1227,佳格,TWSE
2204,中華,TWSE
2801,彰銀,TWSE
2888,新光金,TWSE
5871,中租-KY,TWSE
5483,中美晶,TWSE
6770,力積電,TWSE
8069,元太,TWSE
3406,玉晶光,TWSE
6285,啟碁,TWSE
2467,志聖,TWSE
3596,智易,TWSE
6196,帆宣,TWSE
8112,至上,TWSE
3413,京鼎,TWSE
2059,川湖,TWSE
6409,旭隼,TWSE
1503,士電,TWSE
1504,東元,TWSE
4536,拓凱,TWSE
9921,巨大,TWSE
9914,美利達,TWSE
2542,興富發,TWSE
2548,華固,TWSE
8454,富邦媒,TWSE
2723,美食-KY,TWSE
3023,信邦,TWSE
3019,亞光,TWSE
3653,健策,TWSE
6679,鈺太,TWSE
1707,葡萄王,TWSE
8016,矽創,TWSE
8482,商億-KY,TWSE
4953,緯軟,TWSE
3293,鈊象,TWO
6531,愛普,TWO
3105,穩懋,TWO
6147,頎邦,TWO
5274,信驊,TWO
4966,譜瑞-KY,TWO
3260,威剛,TWO
6643,M31,TWO
1565,精華,TWO
5347,世界,TWO
8358,金居,TWO
5269,祥碩,TWO
6510,精測,TWO
3211,順達,TWO
6515,穎崴,TWO
6446,藥華藥,TWO
4123,晟德,TWO
4174,浩鼎,TWO
6841,長聖,TWO
6533,晶心科,TWO
4763,材料-KY,TWO
3217,優群,TWO
